drugname,count
Clevidipine (ml/hr),6
nss  (ml/hr),30
D5 NORMAL SALINE,2
NS0.9% (ml/hr),20
Fentanyl (mcg/kg/hr),6574
D5w Na Bicarb 150meq (ml/hr),5
D5 150meq bicarb,6
octreotide (mcg/hr),33
D5/0.45 w/40 KCL (ml/hr),5
Pentobarbital (mg/hr),108
precedex,1
IVF w/ MVI (ml/hr),4
NS with Vit (ml/hr),5
Ceftriaxone 1 Gram/Dextrose 100 ml (ml/hr),1
banana  bag (ml/hr),5
Narcan (mg/hr),188
IVF without additives (ml/hr),14
TPA - left (mcg/hr),9
0.9% NACL,1
.9 NSS,1
0.45%NS w/ 75meq NaBicarb (ml/hr),5
Dobutamine (mcg/kg/hr),1
Other (mcg/min) (mcg/min),8
D5W c Bicarb (ml/hr),8
Sodium bicarbonate (ml/hr),1
Pitocin (ml/hr),59
 NS (ml/hr),5
TF  (ml/hr),33
D5W/.45% NS + 20 mEq K (ml/hr),3
0.9 NS 20 Kcl (ml/hr),6
d51/2ns,3
D5W w/ 40mEq K+ (ml/hr),5
0.45%  Na CL (ml/hr),9
bicarb GTT 8.4% with 75 meq,6
d5 w/ MVI (ml/hr),20
"ivf w k, bicarb 3amps (ml/hr)",4
0.9NS w/20meq KCL,1
Clevidipine (mg/hr),31
3 % saline (ml/hr),9
D5 75 mEq Bicarb (ml/hr),9
"D5 0,9 NS ",9
D5 c 40 K+ (ml/hr),2
Tacrolimus (ml/hr),68
Sodium Chloride 0.9% 500 ml (ml/hr),7
argatoban (mcg/kg/min),16
Bivalirudin (Angiomax) 250 mg Sodium Chloride 0.9% 50 ml (mcg/kg/hr),1
Angiomax (mg/kg/hr),426
sod bicarb (ml/hr),3
NS+ (ml/hr),72
D5W/LR (ml/hr),27
0.45% Normal Saline (ml/hr),11
D5NS w/40KCL (ml/hr),3
Sodium Bicarbonate (ml/hr),227
NS w/20 meq KCL (ml/hr),18
albumin,4
D10 0.2NSS 40kcl (ml/hr),2
Diltiazem (mg/kg/hr),12
TPA - left 2 (mcg/hr),12
Ciprofloxacin 200 mg/D5w 100 ml (ml/hr),3
D%W/.45Ns (ml/hr),13
IVB (ml/hr),10
KCL 20 meq in NS,2
NS #2 (ml/hr),5
ivf with thiamine (ml/hr),6
"Dextrose 5%/0.45% Sod Chl 1,000 ml (ml/hr)",3
D5.9 Saline (ml/hr),2
MVI BAG (ml/hr),33
Nimbex (40mg/80ml) (mg/hr),7
octagam (ml/hr),4
1/2NS w/20 K (ml/hr),4
Magnesium Sulfate,1
altephase (ml/hr),2
"NSS wtih MVI, Thiamine,folate (ml/hr)",16
LR 40 MEQ KCL (ml/hr),14
Normosol (ml/hr),351
D5 1/2NS with 20 KCl (ml/hr),38
Sterile water w/ NA HCO3 (ml/hr),13
DOPamine STD 400 mg Dextrose 5% 250 ml  Premix (mcg/kg/min),544
alteplase (mg/hr),129
vf (ml/hr),2
Norepinephrine (mcg/kg/hr),58
kRYDER (ml/hr),3
D5/0.45 20 KCL (ml/hr),2
Insulin Regular (ml/hr),20
D5/NaHCO3150 (ml/hr),2
D5% 0.45%NS (ml/hr),53
d5 0.45%nacl  (ml/hr),5
CISATRACURIM (mcg/kg/min),5
Sodim Bicarb in D5W (ml/hr),39
Multivitamin Infusion (ml/hr),23
0.9NSS (ml/hr),997
Cistaracurium (mcg/kg/min),11
Procainamide (ml/hr),65
NS 20mEQ KCL (ml/hr),32
NSS medflush (ml/hr),10
Dobutamine,176
D10,6
3% na (ml/hr),2
1/2 NS w/ 20meq K (ml/hr),5
ACETYLC YSTEINE (ml/hr),12
Bicarb IVF (ml/hr),36
Fluid bolus....NS (ml/hr),2
ketamine (mg/kg/hr),160
S- IVF (ml/hr),3
MIV  (ml/hr),7
0.9NSw/MVI (ml/hr),2
NS + 20 K+ (ml/hr),10
Epinephrine (mcg/hr),3
. 9 NS  (ml/hr),10
Octreotide (mcg/hr),18758
0.9NSS (carrier) (ml/hr),72
D5 0.45%  with 20meq KCL (ml/hr),14
Procainamide (),7
NACL 1.8% (ml/hr),10
D5W/3amps HCO3 (ml/hr),3
D5/150mEq NAa Bicarb (ml/hr),13
acetylcysteine (ml/hr),60
Mgnesium (mg/hr),22
RL,1
NS for Blood Administration,35
0.9 % NS,1
D5W 40MEQ KCL (ml/hr),26
D5 NS 0.45 (ml/hr),6
d5w/.45% NSS (ml/hr),20
TPN (mg/hr),23
bcarb (ml/hr),3
D5 .45,4
Other Med 20 Units Sodium Chloride 0.9% 2000 ml (units/hr),3
1/2 Normal Saline (ml/hr),25
Fibersource Enteral Feed (ml/hr),41
IVF (ml/hr),30245
Volume (mL) Tenecteplase (ml/hr),261
D5W 150meq NAHCO3 (ml/hr),12
Mannitol 20%,2
D5.45/20KCL (ml/hr),2
NSS bolus  (ml/hr),9
CLEVIPREX (mg/hr),5
"Thiamine, MVI , folic acid (ml/hr)",12
D10/0.45 (ml/hr),33
NS + 20 MEQ  (ml/hr),11
Methylprednisolone IVF infused (Unknown),1985
NSS 0.9% (ml/hr),170
meds (ml/hr),1
Dexmedetomidine Inj 400 Mcg in Dextrose 5% 100 ml (ml/hr),1
hts 3% (ml/hr),48
dilaudid (),7
MIV,6
IVP (ml/hr),1
D5/.9NS w 20meq K (ml/hr),5
Lactated Ringers  (ml/hr),74
K PHOS,1
D5W/0.45%NS+MVI (ml/hr),23
NS - PCA (ml/hr),15
Bumetanide (ml/hr),11374
Vasopressin 40 Units Sodium Chloride 0.9% 100 ml (units/hr),10
Nicardipine (mg/hr),52568
NS  (ml/hr),1218
Hydromorephone PCA (ml/hr),23
D 10% (ml/hr),26
D5/0.45 NS/ KCl 40 (ml/hr),6
D5 1/2 +KLC 20meq (ml/hr),13
Heparin (ml/hr),138276
BICARB 2AMP/D5W (ml/hr),6
3% SODIUM (ml/hr),108
d5 w/ 3 amps bicarb (ml/hr),107
Repro (mcg/min),1
0.9 NSS,11
Isoproterenol,11
d5 (ml/hr),17
Vital 1.2  65ml/h  (ml/hr),6
0.45%NS + MVI (ml/hr),11
Altaplase (mg/hr),26
mvi (ml/hr),2
D10 0.9%NS (ml/hr),4
Sandostatin (mcg/min),25
LASIX,1
NS + 40KCL (ml/hr),3
NiCARDipine (max) 100 mg Sodium Chloride 0.9% 250 ml (mg/hr),168
D5 1/2 NS + KCl  (ml/hr),4
Volume (mL)-sodium chloride 0.9 % bolus 750 mL,1
Volume (ml) Phenylephrine (),5758
Insulin (scaleB) (units/hr),52
0.45 NS + 75 MEQ SODIUM BICARBONATE (ml/hr),24
NS Bolus #2 (ml/hr),1
PRBC'S  (ml/hr),4
Argatroban (mcg/kg/hr),306
1/2NS w/ 40K (ml/hr),31
.45NS (ml/hr),238
Angiomax,7
D5 w/ Bicarb 150meq (ml/hr),20
D5W w/ Anbx (ml/hr),45
Heparin 8000u/1L NS (ml/hr),4
HYDROmorphone,1
Epinephrine,234
Cardizem (mg/hr),80
D21/2NS (ml/hr),7
3%NACL (ml/hr),10
D5 1/2NS w/MVI,2
Versed (mg/hr),170
antibiotics (ml/hr),14
Replete (ml/hr),73
NS rider (ml/hr),37
Fent 625mcg/Bupiv 312.5 Epidual (ml/hr),20
pRBCs (ml/hr),2
TPA (mg/hr),399
NS WITH KCL 20MMOL,9
acetadote,2
d5w/abx (ml/hr),10
D51/2NS 75bicarb (ml/hr),1
3%Nacl (ml/hr),2
PRBCs #2 (ml/hr),2
0.9% NS 20 Meq KCL (ml/hr),4
Blood product.   (ml/hr),8
IVF with vitamins (ml/hr),9
Cefazolin Sod Inj 2 gm in Dextrose 5% 50 ml (ml/hr),2
1/2nss with 20 KCL (ml/hr),6
Esmolol (Brevibloc) 2500 mg Sodium Chloride 0.9% 250 ml (mcg/kg/min),281
D10/NSS (ml/hr),17
